latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_ti5,frp,daynight,type
29.36371,78.96252,334.2,0.4,0.6,2020-05-19,832,N,VIIRS,n,2,307.93,1.73,D,0
29.52303,79.57505,338.81,0.44,0.62,2020-05-19,833,N,VIIRS,l,2,310.65,5.37,D,0
29.52675,79.45637,344.18,0.43,0.62,2020-05-19,833,N,VIIRS,n,2,307.81,4.82,D,0
29.52711,79.45508,341.6,0.43,0.62,2020-05-19,833,N,VIIRS,n,2,307.19,5.9,D,0
29.74799,79.45287,333.24,0.44,0.62,2020-05-19,833,N,VIIRS,n,2,306.52,1.38,D,0
29.74837,79.45414,330.71,0.44,0.62,2020-05-19,833,N,VIIRS,l,2,304.91,2.52,D,0
29.8698,79.35672,351.37,0.43,0.62,2020-05-19,833,N,VIIRS,n,2,307.22,5.56,D,0
30.46082,79.06916,331.3,0.42,0.61,2020-05-19,833,N,VIIRS,l,2,303.8,2.48,D,0
30.46252,79.0712,331.96,0.42,0.61,2020-05-19,833,N,VIIRS,l,2,304.33,4.13,D,0
29.34427,79.77849,321.02,0.53,0.5,2020-05-19,2057,N,VIIRS,n,2,291.06,2.22,N,0
29.55592,79.27052,304.51,0.49,0.49,2020-05-19,2057,N,VIIRS,n,2,290.91,1.48,N,0
29.56049,79.27091,310.88,0.49,0.49,2020-05-19,2057,N,VIIRS,n,2,291.72,1.48,N,0
29.00798,79.42948,339.29,0.44,0.46,2020-05-20,813,N,VIIRS,l,2,313.16,5.52,D,0
29.03029,79.22952,338.75,0.43,0.46,2020-05-20,813,N,VIIRS,l,2,309.27,2.42,D,0
29.03077,79.23399,342.03,0.43,0.46,2020-05-20,813,N,VIIRS,n,2,311.6,3.53,D,0
29.03129,79.27933,340.54,0.43,0.46,2020-05-20,813,N,VIIRS,l,2,313.85,5.4,D,0
29.0757,79.6611,340.91,0.46,0.47,2020-05-20,813,N,VIIRS,n,2,312.52,3.03,D,0
29.01096,78.64475,343.89,0.4,0.44,2020-05-20,814,N,VIIRS,n,2,312.54,2.84,D,0
29.17004,79.14053,344.65,0.43,0.46,2020-05-20,814,N,VIIRS,n,2,313.57,3.83,D,0
29.1748,78.78407,357.0,0.41,0.45,2020-05-20,814,N,VIIRS,n,2,320.0,17.44,D,0
29.20973,79.31679,341.94,0.44,0.46,2020-05-20,814,N,VIIRS,n,2,312.58,4.95,D,0
29.25793,78.96123,342.38,0.42,0.45,2020-05-20,814,N,VIIRS,n,2,312.24,5.04,D,0
29.27495,79.04305,343.31,0.42,0.45,2020-05-20,814,N,VIIRS,n,2,312.64,6.33,D,0
29.27541,79.04744,343.11,0.42,0.45,2020-05-20,814,N,VIIRS,n,2,312.01,6.33,D,0
29.70044,79.39059,336.15,0.45,0.47,2020-05-20,814,N,VIIRS,l,2,310.37,4.52,D,0
30.23509,79.32008,344.06,0.45,0.47,2020-05-20,814,N,VIIRS,n,2,305.57,5.11,D,0
30.2364,79.31807,342.01,0.45,0.47,2020-05-20,814,N,VIIRS,n,2,305.63,7.67,D,0
30.29998,79.65432,336.12,0.47,0.48,2020-05-20,814,N,VIIRS,n,2,299.28,6.37,D,0
30.44114,78.93198,334.42,0.43,0.46,2020-05-20,814,N,VIIRS,n,2,304.91,2.72,D,0
29.0517,79.57848,304.81,0.45,0.39,2020-05-20,2038,N,VIIRS,n,2,291.44,1.04,N,0
29.38613,79.90463,303.22,0.46,0.39,2020-05-20,2038,N,VIIRS,n,2,288.96,1.2,N,0
29.51266,79.56518,301.08,0.44,0.38,2020-05-20,2038,N,VIIRS,n,2,287.67,0.73,N,0
29.84733,79.21642,301.88,0.43,0.38,2020-05-20,2038,N,VIIRS,n,2,290.69,0.76,N,0
30.08533,79.51597,300.59,0.43,0.38,2020-05-20,2038,N,VIIRS,n,2,288.46,0.48,N,0
30.08604,79.51203,310.08,0.43,0.38,2020-05-20,2038,N,VIIRS,n,2,289.0,1.5,N,0
30.11331,78.96239,302.85,0.42,0.37,2020-05-20,2038,N,VIIRS,n,2,289.34,0.76,N,0
30.11401,78.9584,326.09,0.42,0.37,2020-05-20,2038,N,VIIRS,n,2,291.74,2.54,N,0
29.02128,79.23259,347.29,0.4,0.37,2020-05-21,755,N,VIIRS,n,2,311.89,10.5,D,0
29.0281,79.2567,340.8,0.4,0.37,2020-05-21,755,N,VIIRS,n,2,309.51,4.35,D,0
29.04863,79.15604,341.13,0.4,0.37,2020-05-21,755,N,VIIRS,l,2,311.28,4.0,D,0
29.125,79.15125,338.51,0.4,0.37,2020-05-21,755,N,VIIRS,l,2,309.87,3.45,D,0
29.22761,79.04047,341.57,0.4,0.37,2020-05-21,755,N,VIIRS,l,2,313.34,4.63,D,0
